inep_id;ano;dependencia_id;localizacao_id;serie_id;matriculas;aprovados;reprovados;abandonos;TIPO
35044878;2010;2;1;11;49;93.3;6.7;0;AI
35044878;2010;2;1;12;33;100;0;0;AI
35046536;2010;2;1;1;87;100;0;0;AI
35046536;2010;2;1;2;101;100;0;0;AI
35046536;2010;2;1;3;125;100;0;0;AI
35046536;2010;2;1;4;134;100;0;0;AI
35046536;2010;2;1;5;137;100;0;0;AI
35046536;2010;2;1;6;0;0;0;0;AI
35046536;2010;2;1;7;0;0;0;0;AI
35046536;2010;2;1;8;0;0;0;0;AI
35046536;2010;2;1;9;0;0;0;0;AI
35046536;2010;2;1;10;0;0;0;0;AI
35046536;2010;2;1;11;0;0;0;0;AI
35046536;2010;2;1;12;0;0;0;0;AI
35046541;2010;2;1;1;129;100;0;0;AI
35046541;2010;2;1;2;90;100;0;0;AI
35046541;2010;2;1;3;139;100;0;0;AI
35046541;2010;2;1;4;211;100;0;0;AI
35046541;2010;2;1;5;192;99.5;0.5;0;AI
35046541;2010;2;1;6;0;0;0;0;AI
35046541;2010;2;1;7;0;0;0;0;AI
35046541;2010;2;1;8;0;0;0;0;AI
35046541;2010;2;1;9;0;0;0;0;AI
35046541;2010;2;1;10;0;0;0;0;AI
35046541;2010;2;1;11;0;0;0;0;AI
35046541;2010;2;1;12;0;0;0;0;AI
35049086;2010;2;1;1;0;0;0;0;AI
35049086;2010;2;1;2;47;100;0;0;AI
35049086;2010;2;1;3;46;97.6;2.4;0;AI
